id,idade,sexo,formacao,experiencia,fundo_indicado_assessor,informacao,noticia_escolhida,escolha_info_noticia,vies_confirmacao_indicacao,vies_confirmacao_informacao,fundo_escolhido,vies_confirmacao_infonot_escolhidas,vies_confirmacao_indicacao_escolha,perfil,vies_confirmacao_perfil,vies_confirmacao_perfil_decisao
1,41 a 50 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
2,51 a 60 anos,Homem,Outra,Possui investimento e não tem conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
3,41 a 50 anos,Homem,Outra,Não possuir investimentos,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
4,31 a 40 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,arrojado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
5,51 a 60 anos,Mulher,Outra,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
6,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
7,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
8,51 a 60 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
9,61 ou mais,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
10,41 a 50 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
11,18 a 30 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
12,18 a 30 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
13,41 a 50 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
14,18 a 30 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
15,31 a 40 anos,Mulher,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
16,31 a 40 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
17,41 a 50 anos,Homem,Outra,Possui investimento e conhecimento,moderado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
18,51 a 60 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Qualificado,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
19,51 a 60 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
20,31 a 40 anos,Mulher,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
21,51 a 60 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e conhecimento,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
