Date,GS3,GS1,GS10,GS5,GS3M,GS6M
01/01/1982,14.64000034,14.31999969,14.59000015,14.64999962,12.92000008,13.89999962
01/02/1982,14.72999954,14.72999954,14.43000031,14.53999996,14.27999973,14.81000042
01/03/1982,14.13000011,13.94999981,13.85999966,13.97999954,13.31000042,13.82999992
01/04/1982,14.18000031,13.97999954,13.86999989,14,13.34000015,13.86999989
01/05/1982,13.77000046,13.34000015,13.61999989,13.75,12.71000004,13.13000011
01/06/1982,14.47999954,14.06999969,14.30000019,14.43000031,13.07999992,13.76000023
01/07/1982,14,13.23999977,13.94999981,14.06999969,11.85999966,12.80000019
01/08/1982,12.61999989,11.43000031,13.06000042,13,9,10.51000023
01/09/1982,12.02999973,10.85000038,12.34000015,12.25,8.18999958,9.829999924
01/10/1982,10.61999989,9.319999695,10.90999985,10.80000019,7.96999979,8.630000114
01/11/1982,9.979999542,9.159999847,10.55000019,10.38000011,8.350000381,8.800000191
01/12/1982,9.880000114,8.909999847,10.53999996,10.22000027,8.199999809,8.590000153
01/01/1983,9.640000343,8.619999886,10.46000004,10.02999973,8.119999886,8.329999924
01/02/1983,9.909999847,8.920000076,10.72000027,10.26000023,8.390000343,8.649999619
01/03/1983,9.840000153,9.039999962,10.51000023,10.07999992,8.659999847,8.859999657
01/04/1983,9.760000229,8.979999542,10.39999962,10.02000046,8.510000229,8.779999733
01/05/1983,9.659999847,8.899999619,10.38000011,10.02999973,8.5,8.699999809
01/06/1983,10.31999969,9.659999847,10.85000038,10.63000011,9.140000343,9.43999958
01/07/1983,10.89999962,10.19999981,11.38000011,11.21000004,9.449999809,9.850000381
01/08/1983,11.30000019,10.52999973,11.85000038,11.63000011,9.739999771,10.15999985
01/09/1983,11.06999969,10.15999985,11.64999962,11.43000031,9.359999657,9.729999542
01/10/1983,10.86999989,9.81000042,11.53999996,11.27999973,8.989999771,9.390000343
01/11/1983,10.96000004,9.93999958,11.68999958,11.40999985,9.109999657,9.479999542
01/12/1983,11.13000011,10.10999966,11.82999992,11.53999996,9.359999657,9.760000229
01/01/1984,10.93000031,9.899999619,11.67000008,11.36999989,9.260000229,9.56000042
01/02/1984,11.05000019,10.03999996,11.84000015,11.53999996,9.460000038,9.770000458
01/03/1984,11.59000015,10.59000015,12.31999969,12.02000046,9.890000343,10.27000046
01/04/1984,11.97999954,10.89999962,12.63000011,12.36999989,10.06999969,10.47000027
01/05/1984,12.75,11.65999985,13.40999985,13.17000008,10.22000027,11.02000046
01/06/1984,13.18000031,12.07999992,13.56000042,13.47999954,10.26000023,11.23999977
01/07/1984,13.07999992,12.02999973,13.35999966,13.27000046,10.52999973,11.27000046
